Poor Physical Health Days Average Number of Physically Unhealthy Days,Low Birth Weight % Low Birth Weight,Poor Mental Health Days Average Number of Mentally Unhealthy Days,Poor or Fair Health % Fair or Poor Health,Flu Vaccinations % Vaccinated,Access to Exercise Opportunities % With Access to Exercise Opportunities,Food Environment Index Food Environment Index,Preventable Hospital Stays Preventable Hospitalization Rate,Mammography Screening % with Annual Mammogram,Uninsured % Uninsured,Severe Housing Problems % Severe Housing Problems,Driving Alone to Work % Drive Alone to Work,Long Commute - Driving Alone % Long Commute - Drives Alone,Broadband Access % Households with Broadband Access,Library Access Visits per service area population,Some College % Some College,High School Completion % Completed High School,Unemployment % Unemployed,Children in Poverty % Children in Poverty,Child Care Cost Burden % Household Income Required for Child Care Expenses,Drinking Water Violations Presence of Water Violation_Yes,Premature Death %,Primary Care Physicians %,Injury Deaths %,south,midwest,northeast,west,Social Associations per 1000,Mental Health Providers per 1000,Dentists per 1000,dep_prevalence
4.552855795,-2.7680448755935614,0.520775994590333,-1.6849285252179196,0.44,0.5879355279954303,0.35637117090184406,0.5902879275519437,0.35,-2.374255355712776,-1.8628530159728673,0.5378943552362861,0.245,0.29670847150575763,0.41427512647461234,0.58023280726,0.3983619966489413,-3.561791107917427,-1.2918102798207196,-1.3230738503264763,False,0.7316831345338004,0.000650885546915145,-139.18591371615392,1,0,0,0,0.21281646111768418,0.001652547204223124,0.02499905179859779,22
5.2910230494,-2.2536334370312923,0.5995369143209324,-1.441853163600101,0.42,0.2671669422174581,0.3176259762156746,0.925144303328899,0.38,-2.38613928848055,-2.2086542336194825,0.5614610294009211,0.439,0.13562203436785208,0.3321061870423364,0.38045827929,0.3964203589000222,-3.3716159062387976,-0.7536732029642421,-1.1619107855281683,False,0.7985590583701989,0.00044734723092064064,-93.94482161154268,1,0,0,0,0.10340712661984548,0.002219637515542351,0.009005529471579484,12
4.7808202325,-2.55866796603965,0.5651630296541156,-1.5688544787629166,0.4,0.023353866558941547,0.4275684869672758,0.4253673404532724,0.38,-2.5081617885837604,-2.176118083307305,0.4324619631913605,0.425,0.32731126444978803,0.47666046749644614,0.40184645287000004,0.2734566681329585,-3.7078525509761664,-1.0789642979809004,-1.4874693608367302,False,0.7692160341467749,0.00814712038881409,-108.55784536531559,1,0,0,0,0.14071557590216383,0.0005369714946747801,0.3945651115223532,15
4.9298765919,-2.8442799066728193,0.6575293975968879,-1.6683371977401995,0.37,0.46578743101584125,0.35637117090184406,0.6969463386412411,0.44,-2.3384342210895324,-1.7923818392029578,0.6881642843993168,0.292,0.2973707772809165,0.3733855260212719,0.50717589847,0.3582489018767252,-3.6332132339210697,-1.2330941007176055,-1.1794968093227574,False,0.7811971283138072,0.0004754232587623148,-116.04472770632755,1,0,0,0,0.15645070000604355,0.0021842078930136427,0.018609746713687095,20
4.9562233461,-2.7928294259075597,0.5972816445501339,-1.5738647709561349,0.36,0.09185265480569098,0.33021878163889884,0.47801978542155976,0.45,-2.1429769859542,-1.881821001048213,0.42724634574519726,0.47200000000000003,0.134893705847667,0.40167265513129785,0.47789685198,0.2692325771575969,-3.663836660739621,-1.1021092842460156,-1.3094462787012187,False,0.7860917576678753,0.0002278250303766707,-117.30676897763564,1,0,0,0,0.16457246557421581,0.0018840285928931391,0.011465841764563018,17
4.7903861336,-3.0146026381408686,0.5724300595073294,-1.6683371977401995,0.48,0.3563456418284037,0.4584532273263283,0.6018740026298007,0.51,-2.2776978793667326,-1.875266461982939,0.5544901346251578,0.35100000000000003,0.4523960729101209,0.4928805551813357,0.5927217658699999,0.32638933675553256,-3.935084946515426,-1.2666211947938826,-1.3855487662937624,False,0.7268515413320257,0.0004678540730505174,-125.34837586913342,1,0,0,0,0.1320404451078255,0.004528805866181338,0.024093458354291365,27
4.9688840821,-2.9599073630610113,0.5160401787903817,-1.604433630177914,0.4,0.2804124257964165,0.3176259762156746,0.5059457833549248,0.4,-2.3952721335508715,-1.8056951645072206,0.5330830226903785,0.311,0.42137553938092076,0.4907163566264076,0.58691285538,0.3456207716278483,-3.7145840097132483,-1.2451432420256254,-1.4059894317877963,False,0.7184178521938926,0.00028083126053117226,-142.95227261601397,1,0,0,0,0.15359568591578743,0.0038706174627679705,0.017162116358073357,22
5.3815908398,-2.3037728804212536,0.6272123843845142,-1.369125346033265,0.39,0.45046648578495274,0.3176259762156746,0.5416805689407608,0.41,-2.4795843820275256,-1.6007032175709455,0.5919933628001964,0.31,0.3050309298282945,0.49044858893339677,0.57383665717,0.38351426145213463,-2.9391099610464795,-0.6924241548521626,-0.938090386437816,False,0.7980499151520901,0.0007439246156389485,-88.96225612135058,1,0,0,0,0.20699232524646177,0.0021266106987811633,0.018026566894665377,16
5.3055567376,-3.0446747797021283,0.6148418957401056,-1.369125346033265,0.4,0.2781871000913569,0.4672542530869151,0.5311652699021642,0.33,-1.9815089798874028,-1.7675244676092363,0.5003418530689103,0.303,0.44259526532058757,0.46773048966917036,0.50092603311,0.1998619623270233,-3.826373672912384,-1.0588442206531448,-1.4036573374829469,False,0.7368218361459733,0.0003993060336518602,-120.95623754531378,1,0,0,0,0.1352703213856623,0.0015182128537509893,0.014552301248731319,19
4.364264063,-2.9005310563501223,0.5101458207338206,-1.8470119908871168,0.34,0.3955852429720652,0.541942596641329,0.575266073611209,0.47,-2.5695179382076776,-1.8746899006485065,0.5747257335733417,0.486,0.5843176596520702,0.4017110198231057,0.53256385683,0.46574408327220485,-3.891805652078428,-1.411346740718541,-1.5396455407678806,False,0.6728092034971241,0.00022119978764820387,-174.49534308205477,1,0,0,0,0.15019943469300404,0.0010060821595860078,0.006679446308430623,18
